"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff","elev_roundS","elev_roundW","maxTemp_June_mean","minTemp_June_mean","maxTemp_June_ci","minTemp_June_ci","tempRange_June","maxTemp_Jan_mean","minTemp_Jan_mean","maxTemp_Jan_ci","minTemp_Jan_ci","tempRange_Jan","ThermalRegime","Tree.name","Scientific","HWI","Diet"
"Asian Koel",0,272,272,272,272,271.2,301,0,-29,0.800000000000011,300,300,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,20.2658092246341,6.54549490237388,0.010205420824288,0.00805836920284432,13.7203143222603,32.0459407095293,"Eudynamys_scolopaceus","Eudynamys scolopaceus",31.36645392,"fruit"
"Greater Coucal",2,294,278.3,321.405,262,262,263,32,16.14625,59.605,300,300,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,20.2658092246341,6.54549490237388,0.010205420824288,0.00805836920284432,13.7203143222603,32.0459407095293,"Centropus_sinensis","Centropus sinensis",13.23180548,"vertebrates"
"Yellow-footed Green-Pigeon",0,268.125,245,272,245,225.75,271.04375,22.7,-7.49500000000001,46.25,300,200,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,20.4973602970557,6.74524779664209,0.00377980371510232,0.0036244639908215,13.7521125004136,31.8461878152611,"Treron_phoenicopterus","Treron phoenicopterus",39.47932785,"fruit"
"Asian Emerald Dove",1,318.5,289,354,388,388,388,-69.5,-99,-34,300,400,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,33.434185467478,"Chalcophaps_indica","Chalcophaps indica",28.69523682,"omnivore"
"Eurasian Collared-Dove",2,272,272,272,262,257.75,262,10,10,14.25,300,300,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,20.2658092246341,6.54549490237388,0.010205420824288,0.00805836920284432,13.7203143222603,32.0459407095293,"Streptopelia_decaocto","Streptopelia decaocto",37.84538878,"omnivore"
"Oriental Turtle-Dove",2,602,601.9475,602,388,324.9,388,214,214,277.1,600,400,34.9175192472198,23.660621613915,0.0278416027627093,0.0157774437863449,11.2568976333048,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,29.7602691027946,"Streptopelia_orientalis","Streptopelia orientalis",32.75114632,"omnivore"
"Spotted Dove",0,272,272,272,272,272,272,0,0,0,300,300,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,20.2658092246341,6.54549490237388,0.010205420824288,0.00805836920284432,13.7203143222603,32.0459407095293,"Stigmatopelia_chinensis","Streptopelia chinensis",30.6093332,"seeds"
"Laughing Dove",2,321,304.85,321,281.55,266.05,294.0025,37.45,19.64875,54.055,300,300,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,20.2658092246341,6.54549490237388,0.010205420824288,0.00805836920284432,13.7203143222603,32.0459407095293,"Stigmatopelia_senegalensis","Streptopelia senegalensis",34.48991766,"seeds"
"Hill Pigeon",2,2793.25,2684.6,3117.7125,1310,1249,1595,1474.575,1164.04875,1790.07125,2800,1300,17.7782168716741,7.22285614586059,0.0328881986443415,0.0399584556377819,10.5553607258135,5.78517844700782,-6.09761554540528,0.0663275996715154,0.0565749901578103,11.8827939924131,23.8758324170794,"Columba_rupestris","Columba rupestris",48.60645148,"seeds"
"Rock Pigeon",0,272,272,276.9225,272,272,272,0,0,4.92250000000001,300,300,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,20.2658092246341,6.54549490237388,0.010205420824288,0.00805836920284432,13.7203143222603,32.0459407095293,"Columba_livia","Columba livia",44.18079137,"seeds"
"Snow Pigeon",2,1630,1575,2314.5075,1510.05,1476.6,1614.84125,143.8,12.7375000000002,805.3125,1600,1500,26.4195904474947,15.6067514786296,0.0196456148452248,0.0223343614709647,10.8128389688651,7.58187629368075,-4.57675636186534,0.0699953558139449,0.0558822703995525,12.1586326555461,30.99634680936,"Columba_leuconota","Columba leuconota",44.49828857,"seeds"
"Mountain Scops-Owl",0,1413,1413,1419,1430.45,1365,1586.48875,-17.45,-175.63,49.005,1400,1400,28.8915322996528,17.5134493072507,0.0172517299945106,0.0109816899559281,11.3780829924021,5.33718499673394,-6.55278990614364,0.0558935948982156,0.0474996847036743,11.8899749028776,35.4443222057964,"Otus_spilocephalus","Otus spilocephalus",25.46493589,"invertebrates"
"Brown Fish-Owl",1,285.85,276.52375,333.97125,345.95,320.5975,364.51375,-47.1,-78.5987499999999,-8.40374999999997,300,300,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,20.2658092246341,6.54549490237388,0.010205420824288,0.00805836920284432,13.7203143222603,32.0459407095293,"Ketupa_zeylonensis","Ketupa zeylonensis",28.81143877,"vertebrates"
